,price,Year,Hand,Kilometer,Area,Gearbox,Engine capcity,Color,manufacturer,type
246,12500.0,2011.0,3.0,206000.0, אשדוד - אשקלון,ידנית,1086.0,             טורקיז,יונדאי, i10
247,29000.0,2015.0,3.0,86000.0, נס ציונה - רחובות,ידנית,998.0,             אפור מטאלי,יונדאי, i10
248,26000.0,2012.0,1.0,104000.0, חולון - בת ים,אוטומטית,1086.0,             לבן,יונדאי, i10
249,75000.0,2020.0,1.0,7000.0, בקעת אונו,אוטומטית,1197.0,             לבן,יונדאי, i10
251,81500.0,2021.0,1.0,4200.0, מושבים בצפון,רובוטית,1197.0,             כסוף מטאלי,יונדאי, i10
252,14000.0,2011.0,1.0,197000.0, חולון - בת ים,ידנית,1086.0,             לבן,יונדאי, i10
253,27000.0,2015.0,3.0,110000.0, עכו - נהריה,אוטומטית,998.0,             אפור מטאלי,יונדאי, i10
255,32000.0,2015.0,2.0,132000.0, כרמיאל והסביבה,אוטומטית,1248.0,             אפור מטאלי,יונדאי, i10
256,32000.0,2015.0,3.0,160000.0, פתח תקוה והסביבה,אוטומטית,1248.0,             שחור,יונדאי, i10
257,15000.0,2011.0,3.0,128000.0, ירושלים והסביבה,ידנית,1086.0,             לבן,יונדאי, i10
258,45000.0,2016.0,1.0,100000.0, נתניה והסביבה,אוטומטית,1248.0,             שחור,יונדאי, i10
260,46500.0,2017.0,2.0,98000.0, פתח תקוה והסביבה,אוטומטית,1248.0,             לבן,יונדאי, i10
261,20000.0,2013.0,3.0,100000.0, נתניה והסביבה,אוטומטית,1086.0,             כחול בהיר,יונדאי, i10
263,14500.0,2010.0,2.0,200000.0, נתניה והסביבה,ידנית,1086.0,             לבן,יונדאי, i10
264,27500.0,2014.0,1.0,146000.0, אשדוד - אשקלון,אוטומטית,998.0,             לבן מטאלי,יונדאי, i10
265,22000.0,2014.0,2.0,30000.0, מושבים בדרום,אוטומטית,998.0,             לבן מטאלי,יונדאי, i10
267,75000.0,2020.0,1.0,31000.0, עכו - נהריה,אוטומטית,1197.0,             לבן,יונדאי, i10
268,33000.0,2015.0,2.0,64951.0, מודיעין והסביבה,ידנית,998.0,             אדום מטאלי,יונדאי, i10
269,75000.0,2021.0,2.0,4000.0, תל אביב,אוטומטית,1197.0,             לבן,יונדאי, i10
270,26000.0,2013.0,2.0,135000.0, רמת השרון - הרצליה,אוטומטית,1086.0,             לבן,יונדאי, i10
271,15000.0,2011.0,3.0,120000.0, ירושלים והסביבה,ידנית,1086.0,             אפור,יונדאי, i10
272,47000.0,2016.0,3.0,110000.0, עמק יזרעאל,אוטומטית,1248.0,             שחור מטאלי,יונדאי, i10
273,40000.0,2015.0,1.0,55000.0, פתח תקוה והסביבה,אוטומטית,998.0,             אפור עכבר,יונדאי, i10
274,55000.0,2017.0,1.0,45500.0, רעננה - כפר סבא,אוטומטית,1248.0,             שחור,יונדאי, i10
276,20000.0,2014.0,2.0,101000.0," ראשל""צ והסביבה",ידנית,998.0,             שחור,יונדאי, i10
277,15550.0,2011.0,4.0,125000.0, בקעת אונו,ידנית,1086.0,             שחור,יונדאי, i10
278,9500.0,2011.0,2.0,180000.0, תל אביב,ידנית,1086.0,             לבן,יונדאי, i10
279,15550.0,2011.0,3.0,117000.0, מושבים בצפון,ידנית,1086.0,             בז’ מטאלי,יונדאי, i10
280,18000.0,2011.0,3.0,117000.0, אשדוד - אשקלון,אוטומטית,1248.0,             אפור עכבר,יונדאי, i10
281,11900.0,2012.0,4.0,223000.0, ירושלים והסביבה,ידנית,1086.0,             בז’ מטאלי,יונדאי, i10
283,60000.0,2018.0,1.0,23000.0, רמת גן - גבעתיים,אוטומטית,1248.0,             שחור מטאלי,יונדאי, i10
